candle_begin_time,open,high,low,close,volume
2021-02-26 00:00:00+00:00,47300.37,47338.92,46752.81,47176.98,44363.0
2021-02-26 00:05:00+00:00,47198.73,47581.09,46902.45,47536.34,28877.0
2021-02-26 00:10:00+00:00,47530.15,47762.61,47284.32,47695.18,40494.0
2021-02-26 00:15:00+00:00,47707.44,47800.0,47198.97,47198.97,25838.0
2021-02-26 00:20:00+00:00,47209.87,47480.94,46936.95,47243.5,29307.0
2021-02-26 00:25:00+00:00,47223.56,47229.58,46897.99,46939.62,20589.0
2021-02-26 00:30:00+00:00,46945.03,46952.07,46414.7,46595.91,45834.0
2021-02-26 00:35:00+00:00,46617.93,46632.84,46216.1,46505.5,52374.0
2021-02-26 00:40:00+00:00,46524.32,46790.87,46183.0,46362.35,36855.0
2021-02-26 00:45:00+00:00,46325.37,46685.0,46137.55,46522.13,57695.0
2021-02-26 00:50:00+00:00,46544.75,46792.91,46401.94,46762.35,29852.0
2021-02-26 00:55:00+00:00,46743.5,47051.69,46468.87,46990.67,23516.0
2021-02-26 01:00:00+00:00,46997.63,47396.57,46738.46,47304.55,35920.0
2021-02-26 01:05:00+00:00,47305.18,47328.62,46722.6,46755.83,28515.0
2021-02-26 01:10:00+00:00,46769.47,47337.85,46763.28,47163.54,16404.0
2021-02-26 01:15:00+00:00,47172.64,47368.31,46948.85,47242.25,34091.0
2021-02-26 01:20:00+00:00,47247.25,47705.22,47247.25,47503.5,33731.0
2021-02-26 01:25:00+00:00,47460.01,47680.84,47301.21,47391.3,12809.0
2021-02-26 01:30:00+00:00,47370.07,47588.43,47180.26,47180.26,14683.0
2021-02-26 01:35:00+00:00,47176.91,47272.42,46871.6,47092.41,24202.0
2021-02-26 01:40:00+00:00,47064.33,47473.56,47022.45,47317.82,18760.0
2021-02-26 01:45:00+00:00,47310.93,47310.93,46809.27,46842.6,22893.0
2021-02-26 01:50:00+00:00,46857.88,46857.88,46474.3,46544.34,34259.0
2021-02-26 01:55:00+00:00,46521.84,46712.25,46427.04,46648.18,25948.0
2021-02-26 02:00:00+00:00,46648.97,46697.48,46294.07,46659.16,36351.0
2021-02-26 02:05:00+00:00,46717.21,47144.32,46717.21,46861.9,34428.0
2021-02-26 02:10:00+00:00,46850.88,47065.89,46748.61,47058.82,15168.0
2021-02-26 02:15:00+00:00,47052.64,47424.34,47043.02,47252.95,19759.0
2021-02-26 02:20:00+00:00,47242.82,47372.11,47063.07,47324.86,16349.0
2021-02-26 02:25:00+00:00,47308.01,47625.51,47264.95,47502.69,15486.0
2021-02-26 02:30:00+00:00,47503.3,47503.3,47187.25,47250.79,12427.0
2021-02-26 02:35:00+00:00,47222.33,47231.53,47012.87,47163.28,22513.0
2021-02-26 02:40:00+00:00,47172.53,47995.19,47138.03,47967.02,29982.0
2021-02-26 02:45:00+00:00,47962.53,47975.08,47710.15,47716.85,22473.0
2021-02-26 02:50:00+00:00,47737.9,47806.88,47578.31,47673.47,15802.0
2021-02-26 02:55:00+00:00,47638.95,47684.59,47527.91,47552.61,9566.0
2021-02-26 03:00:00+00:00,47525.82,47825.39,47350.79,47377.29,18423.0
2021-02-26 03:05:00+00:00,47376.29,47376.29,47144.41,47303.16,14607.0
2021-02-26 03:10:00+00:00,47287.59,47402.09,46938.28,46938.28,16504.0
2021-02-26 03:15:00+00:00,46949.47,47317.84,46949.47,47105.81,14780.0
2021-02-26 03:20:00+00:00,47103.47,47358.64,47103.47,47349.32,8324.0
2021-02-26 03:25:00+00:00,47352.12,47596.16,47254.24,47596.16,13344.0
2021-02-26 03:30:00+00:00,47599.07,47732.2,47458.88,47490.96,9714.0
2021-02-26 03:35:00+00:00,47490.91,47490.91,47200.97,47200.97,19031.0
2021-02-26 03:40:00+00:00,47205.68,47644.86,47178.71,47423.9,15757.0
2021-02-26 03:45:00+00:00,47427.55,47680.37,47315.58,47504.17,8946.0
2021-02-26 03:50:00+00:00,47484.53,47673.67,47457.81,47618.61,8850.0
2021-02-26 03:55:00+00:00,47615.38,47695.37,47486.74,47510.15,9826.0
2021-02-26 04:00:00+00:00,47519.14,47881.25,47519.14,47869.29,16517.0
2021-02-26 04:05:00+00:00,47870.98,47933.97,47709.69,47762.74,13843.0
2021-02-26 04:10:00+00:00,47751.84,47826.26,47562.01,47601.11,8014.0
2021-02-26 04:15:00+00:00,47576.69,47582.45,47380.27,47543.94,12783.0
2021-02-26 04:20:00+00:00,47541.28,47818.33,47468.48,47784.42,5686.0
2021-02-26 04:25:00+00:00,47782.72,47946.81,47629.5,47630.09,24765.0
2021-02-26 04:30:00+00:00,47643.64,47677.86,47292.3,47514.12,16891.0
2021-02-26 04:35:00+00:00,47498.16,47515.49,47353.23,47399.92,9390.0
2021-02-26 04:40:00+00:00,47404.17,47430.75,47183.88,47237.49,11213.0
2021-02-26 04:45:00+00:00,47237.2,47296.85,47146.6,47272.56,11548.0
2021-02-26 04:50:00+00:00,47282.9,47282.9,46982.93,47192.59,11574.0
2021-02-26 04:55:00+00:00,47107.15,47196.74,46969.15,47174.14,14113.0
2021-02-26 05:00:00+00:00,47180.87,47341.57,46989.35,47015.27,7488.0
2021-02-26 05:05:00+00:00,47025.58,47029.95,46660.26,46940.38,28363.0
2021-02-26 05:10:00+00:00,46958.69,46958.69,46722.5,46854.85,9828.0
2021-02-26 05:15:00+00:00,46855.03,46918.84,46615.46,46653.48,13918.0
2021-02-26 05:20:00+00:00,46700.0,47072.93,46700.0,47072.93,16698.0
2021-02-26 05:25:00+00:00,47093.25,47135.65,46767.26,46842.28,13071.0
2021-02-26 05:30:00+00:00,46835.41,46999.76,46643.01,46687.45,11074.0
2021-02-26 05:35:00+00:00,46714.47,46720.04,46442.88,46521.05,19372.0
2021-02-26 05:40:00+00:00,46517.62,46525.33,46353.56,46369.47,19662.0
2021-02-26 05:45:00+00:00,46379.21,46532.11,46154.27,46206.83,27696.0
2021-02-26 05:50:00+00:00,46225.34,46252.02,45680.36,45909.87,91448.0
2021-02-26 05:55:00+00:00,45925.84,46079.42,45654.45,45686.51,25567.0
2021-02-26 06:00:00+00:00,45661.11,46056.22,45658.82,46020.0,18806.0
2021-02-26 06:05:00+00:00,46044.13,46369.09,46044.13,46320.15,17118.0
2021-02-26 06:10:00+00:00,46287.03,46421.12,46181.24,46267.24,14686.0
2021-02-26 06:15:00+00:00,46256.96,46666.95,46192.98,46510.17,18892.0
2021-02-26 06:20:00+00:00,46515.28,46569.96,46358.6,46415.77,10598.0
2021-02-26 06:25:00+00:00,46416.12,46416.12,45931.22,46010.93,20085.0
2021-02-26 06:30:00+00:00,45993.55,46353.81,45957.53,46100.31,18917.0
2021-02-26 06:35:00+00:00,46103.57,46423.07,46027.36,46367.68,11726.0
2021-02-26 06:40:00+00:00,46373.14,46446.32,46173.65,46213.66,10159.0
2021-02-26 06:45:00+00:00,46216.29,46486.16,46113.41,46470.63,12648.0
2021-02-26 06:50:00+00:00,46464.01,46606.33,46334.98,46408.59,31869.0
2021-02-26 06:55:00+00:00,46389.94,46444.64,46176.66,46226.38,10643.0
2021-02-26 07:00:00+00:00,46237.3,46555.69,46219.26,46490.3,12341.0
2021-02-26 07:05:00+00:00,46485.61,46603.97,46421.11,46570.6,10081.0
2021-02-26 07:10:00+00:00,46568.24,46569.9,46186.95,46186.95,10945.0
2021-02-26 07:15:00+00:00,46218.39,46236.73,45387.02,45562.14,99601.0
2021-02-26 07:20:00+00:00,45548.3,45722.68,45322.21,45407.46,75825.0
2021-02-26 07:25:00+00:00,45399.52,45582.89,45058.0,45539.52,136047.0
2021-02-26 07:30:00+00:00,45527.66,45800.36,45201.66,45218.5,51874.0
2021-02-26 07:35:00+00:00,45226.39,45238.58,44543.31,44725.98,114806.0
2021-02-26 07:40:00+00:00,44715.92,44882.5,44328.48,44515.96,61759.0
2021-02-26 07:45:00+00:00,44532.88,44867.66,44241.14,44719.58,93157.0
2021-02-26 07:50:00+00:00,44735.74,44912.78,44405.41,44407.63,55163.0
2021-02-26 07:55:00+00:00,44419.67,45318.77,44393.5,45218.37,66483.0
2021-02-26 08:00:00+00:00,45143.14,45486.62,45130.42,45410.29,33614.0
2021-02-26 08:05:00+00:00,45418.08,45599.28,45300.28,45516.21,51433.0
2021-02-26 08:10:00+00:00,45517.47,45556.44,45350.28,45501.43,52144.0
2021-02-26 08:15:00+00:00,45501.43,45687.1,45262.1,45339.0,69659.0
2021-02-26 08:20:00+00:00,45339.0,45714.01,45218.49,45714.01,39503.0
2021-02-26 08:25:00+00:00,45713.54,45965.37,45669.02,45788.37,64615.0
2021-02-26 08:30:00+00:00,45786.44,46048.39,45757.53,46044.57,42876.0
2021-02-26 08:35:00+00:00,46038.02,46051.4,45791.92,45855.07,36250.0
2021-02-26 08:40:00+00:00,45845.0,45855.07,45606.42,45797.8,37150.0
2021-02-26 08:45:00+00:00,45799.67,46096.85,45782.6,45803.58,127917.0
2021-02-26 08:50:00+00:00,45798.69,45999.56,45712.98,45852.87,49572.0
2021-02-26 08:55:00+00:00,45857.79,45962.63,45775.18,45864.43,35495.0
2021-02-26 09:00:00+00:00,45880.26,46016.29,45493.09,45678.21,62237.0
2021-02-26 09:05:00+00:00,45700.0,46582.45,45641.07,46381.62,84293.0
2021-02-26 09:10:00+00:00,46402.27,46825.38,46402.27,46496.1,97523.0
2021-02-26 09:15:00+00:00,46445.02,46584.01,46258.33,46333.71,43351.0
