candle_begin_time,open,high,low,close,volume
2021-01-23 00:00:00,137.65,137.67,136.05,136.26,11215.33763
2021-01-23 00:05:00,136.27,137.04,135.42,135.74,8901.25137
2021-01-23 00:10:00,135.74,135.76,135.07,135.22,7226.35282
2021-01-23 00:15:00,135.2,135.84,135.05,135.55,5685.87541
2021-01-23 00:20:00,135.55,135.84,135.32,135.53,3629.30938
2021-01-23 00:25:00,135.52,136.69,135.5,136.15,4884.56365
2021-01-23 00:30:00,136.14,136.77,135.63,136.66,4689.79955
2021-01-23 00:35:00,136.69,136.75,135.87,135.9,3225.65515
2021-01-23 00:40:00,135.89,136.38,135.89,136.15,2963.2025
2021-01-23 00:45:00,136.14,136.79,135.33,136.58,4190.43865
2021-01-23 00:50:00,136.58,137.25,136.54,137.02,2606.30789
2021-01-23 00:55:00,137.02,137.2,136.8,137.12,2383.10939
2021-01-23 01:00:00,137.14,137.5,136.67,136.79,3628.48371
2021-01-23 01:05:00,136.78,136.84,136.38,136.66,3101.10059
2021-01-23 01:10:00,136.67,136.87,135.61,135.68,3495.98966
2021-01-23 01:15:00,135.67,136.37,135.5,136.12,4487.4959
2021-01-23 01:20:00,136.12,136.61,135.93,136.41,2570.99688
2021-01-23 01:25:00,136.39,137.17,136.36,137.01,3367.55444
2021-01-23 01:30:00,137.01,137.14,136.79,137.06,2956.09535
2021-01-23 01:35:00,137.06,137.32,136.86,136.96,2344.39562
2021-01-23 01:40:00,136.95,137.86,136.95,137.73,3912.95944
2021-01-23 01:45:00,137.74,137.75,137.36,137.42,4339.19342
2021-01-23 01:50:00,137.41,137.79,137.1,137.12,5476.45503
2021-01-23 01:55:00,137.12,137.4,137.01,137.19,3103.28621
2021-01-23 02:00:00,137.17,137.88,136.95,137.49,3305.31022
2021-01-23 02:05:00,137.49,137.79,137.05,137.77,4906.63531
2021-01-23 02:10:00,137.77,137.77,137.04,137.18,4021.46877
2021-01-23 02:15:00,137.18,137.48,136.47,136.55,4838.31952
2021-01-23 02:20:00,136.54,136.81,136.01,136.13,7508.39984
2021-01-23 02:25:00,136.13,136.38,135.75,136.25,3283.28961
2021-01-23 02:30:00,136.26,136.81,136.17,136.49,2675.08814
2021-01-23 02:35:00,136.49,136.82,136.25,136.56,1600.49057
2021-01-23 02:40:00,136.56,137.05,135.99,136.05,3796.76651
2021-01-23 02:45:00,136.04,136.42,135.88,136.38,5846.76599
2021-01-23 02:50:00,136.38,136.7,136.12,136.27,3097.85371
2021-01-23 02:55:00,136.28,136.47,135.95,136.08,2153.27669
2021-01-23 03:00:00,136.08,136.83,135.71,136.77,4663.53685
2021-01-23 03:05:00,136.78,136.78,135.88,136.5,3045.65548
2021-01-23 03:10:00,136.51,136.51,135.97,136.28,1373.3582
2021-01-23 03:15:00,136.27,136.96,136.12,136.91,3394.26495
2021-01-23 03:20:00,136.91,137.06,136.7,136.8,2085.82692
2021-01-23 03:25:00,136.78,136.92,136.53,136.56,932.72112
2021-01-23 03:30:00,136.57,136.81,136.26,136.7,1566.44933
2021-01-23 03:35:00,136.71,136.93,136.44,136.73,2249.06904
2021-01-23 03:40:00,136.71,137.07,136.6,136.92,3482.54975
2021-01-23 03:45:00,136.92,137.16,136.76,137.08,3015.58488
