candle_begin_time,open,high,low,close,volume
2021-01-31 00:00:00,2.9314,2.9342,2.9056,2.9253,206382.87
2021-01-31 00:05:00,2.9242,2.9317,2.9144,2.9144,106942.04
2021-01-31 00:10:00,2.9151,2.923,2.9,2.9036,330895.39
2021-01-31 00:15:00,2.9042,2.9108,2.8972,2.9033,150283.75
2021-01-31 00:20:00,2.9025,2.9025,2.8713,2.882,563002.53
2021-01-31 00:25:00,2.882,2.882,2.8502,2.8514,478054.01
2021-01-31 00:30:00,2.851,2.8846,2.851,2.8716,312950.08
2021-01-31 00:35:00,2.8714,2.8801,2.86,2.8619,124660.73
2021-01-31 00:40:00,2.8618,2.8718,2.8524,2.8649,198162.14
2021-01-31 00:45:00,2.8645,2.8756,2.862,2.8748,148615.93
2021-01-31 00:50:00,2.8748,2.8822,2.8745,2.8756,107058.39
2021-01-31 00:55:00,2.8751,2.888,2.8744,2.8816,100057.87
2021-01-31 01:00:00,2.8812,2.9005,2.8812,2.9005,202923.54
2021-01-31 01:05:00,2.9005,2.9067,2.8909,2.8914,150831.46
2021-01-31 01:10:00,2.8919,2.905,2.8913,2.9015,102688.7
2021-01-31 01:15:00,2.9004,2.9102,2.9,2.9072,103706.85
2021-01-31 01:20:00,2.9079,2.921,2.9079,2.9174,129444.12
2021-01-31 01:25:00,2.917,2.9405,2.917,2.94,235950.82
2021-01-31 01:30:00,2.9397,3.0032,2.9397,2.9999,654382.15
2021-01-31 01:35:00,3.0004,3.0226,2.978,2.9855,689396.47
2021-01-31 01:40:00,2.985,2.9858,2.9705,2.9786,201241.07
2021-01-31 01:45:00,2.9786,2.9802,2.9526,2.9537,182209.08
2021-01-31 01:50:00,2.9535,2.9734,2.952,2.9649,202901.04
2021-01-31 01:55:00,2.9649,2.9758,2.9584,2.9727,183883.34
2021-01-31 02:00:00,2.9733,2.9746,2.9527,2.9563,141163.62
2021-01-31 02:05:00,2.9564,2.9612,2.9454,2.9552,203523.53
2021-01-31 02:10:00,2.9552,2.9579,2.9493,2.9559,126204.63
2021-01-31 02:15:00,2.9575,2.9581,2.94,2.9418,84842.29
2021-01-31 02:20:00,2.9419,2.9454,2.9271,2.9271,148697.68
2021-01-31 02:25:00,2.9272,2.9345,2.9196,2.9215,167522.34
2021-01-31 02:30:00,2.9215,2.9272,2.9141,2.9144,81185.93
2021-01-31 02:35:00,2.9143,2.9221,2.9107,2.9151,105937.98
2021-01-31 02:40:00,2.9146,2.9169,2.9036,2.9036,101647.9
2021-01-31 02:45:00,2.9036,2.9203,2.9036,2.9128,104587.31
2021-01-31 02:50:00,2.9123,2.9218,2.9115,2.9181,46585.48
2021-01-31 02:55:00,2.918,2.9227,2.9153,2.9187,51742.43
2021-01-31 03:00:00,2.9195,2.9196,2.9002,2.906,334591.04
2021-01-31 03:05:00,2.906,2.914,2.9053,2.9083,83349.41
2021-01-31 03:10:00,2.9084,2.9097,2.9,2.907,78640.91
2021-01-31 03:15:00,2.9071,2.908,2.903,2.905,50406.63
2021-01-31 03:20:00,2.905,2.9063,2.8875,2.8936,176942.88
2021-01-31 03:25:00,2.8941,2.9103,2.8925,2.9098,107175.88
2021-01-31 03:30:00,2.9097,2.9179,2.9046,2.9173,43264.14
2021-01-31 03:35:00,2.9169,2.917,2.9102,2.9119,48038.14
2021-01-31 03:40:00,2.9119,2.9234,2.9088,2.9219,157180.5
2021-01-31 03:45:00,2.9215,2.9255,2.9106,2.9107,87851.9
2021-01-31 03:50:00,2.9107,2.9164,2.9071,2.9084,62876.33
2021-01-31 03:55:00,2.9085,2.9115,2.9019,2.9113,35858.84
2021-01-31 04:00:00,2.9116,2.9268,2.9042,2.9263,90674.6
2021-01-31 04:05:00,2.9265,2.9265,2.9184,2.9204,40959.28
2021-01-31 04:10:00,2.9221,2.9221,2.9134,2.9186,33903.02
2021-01-31 04:15:00,2.9187,2.9208,2.9095,2.9104,42442.99
2021-01-31 04:20:00,2.9103,2.9135,2.904,2.9043,35850.83
2021-01-31 04:25:00,2.9043,2.9045,2.898,2.8995,87935.97
