candle_begin_time,close,每次投入资金,累计投入资金,每次买币数量,累计买币数量,平均持有成本,币市值
2017-07-01,1.135,100,100,87.92951541850219,87.92951541850219,1.1372745490981966,99.79999999999998
2017-07-02,2.9103,100,200,34.291997388585365,122.22151280708755,1.6363731343734613,355.70126872246686
2017-07-03,4.017,100,300,24.84441125217824,147.0659240592658,2.0399015062055,590.7638169460707
2017-07-04,3.12,100,400,31.987179487179485,179.05310354644527,2.2339741231921315,558.6456830649092
2017-07-05,2.8322,100,500,35.23762446154933,214.2907280079946,2.3332787407458264,606.9141998642423
2017-07-06,3.2499,100,600,30.70863718883658,244.99936519683118,2.4489859372409524,796.2234369531816
2017-07-07,2.6598,100,700,37.521618166779454,282.52098336361064,2.477692069686324,751.4493115505317
2017-07-08,2.3957,100,800,41.657970530533866,324.1789538941445,2.467772785340122,776.635519844202
2017-07-09,2.2061,100,900,45.23820316395449,369.417157058099,2.4362701699273135,814.9711901858723
2017-07-10,1.6016,100,1000,62.312687312687316,431.72984437078634,2.3162633138263224,691.4585187442514
2017-07-11,1.5,100,1100,66.53333333333333,498.2631777041197,2.207668656288315,747.3947665561795
2017-07-12,1.985,100,1200,50.277078085642316,548.540255789762,2.187624312589962,1088.8524077426775
2017-07-13,1.6442,100,1300,60.69821189636297,609.238467686125,2.133811420243001,1001.7098885695267
2017-07-14,1.5189,100,1400,65.70544472973863,674.9439124158636,2.0742464288460707,1025.172308568455
2017-07-15,1.3,100,1500,76.76923076923076,751.7131431850943,1.9954420294480006,977.2270861406226
2017-07-16,1.244,100,1600,80.2250803858521,831.9382235709463,1.92321972313315,1034.9311501222571
2017-07-17,1.5551,100,1700,64.17593723876278,896.1141608097091,1.8970797185750499,1393.5471314751785
2017-07-18,1.653,100,1800,60.375075620084694,956.4892364297938,1.8818821283537985,1581.0767078184492
2017-07-19,1.4936,100,1900,66.81842528119978,1023.3076617109936,1.8567241027230823,1528.41232353154
2017-07-20,1.7164,100,2000,58.144954556047544,1081.452616267041,1.8493644288397963,1856.2052705607493
2017-07-21,1.7988,100,2100,55.48143206582166,1136.9340483328629,1.8470728386394302,2045.1169661411536
2017-07-22,2.0302,100,2200,49.157718451384106,1186.091766784247,1.8548311872737122,2408.003504925378
2017-07-23,1.9294,100,2300,51.72592515808024,1237.8176919423272,1.858108843468657,2388.2454548335263
2017-07-24,1.8789,100,2400,53.116185001862796,1290.93387694419,1.859119233652087,2425.5356613904387
2017-07-25,1.6511,100,2500,60.44455211677064,1351.3784290609606,1.8499629313583081,2231.260924222552
2017-07-26,1.6951,100,2600,58.87558256150079,1410.2540116224613,1.843639499389735,2390.5215751012342
2017-07-27,1.9156,100,2700,52.098559198162455,1462.352570820624,1.8463399688112487,2801.282584663987
2017-07-28,1.8107,100,2800,55.11680565527144,1517.4693764758954,1.845177269081105,2747.6817999849036
2017-07-29,1.8336,100,2900,54.42844677137872,1571.8978232472741,1.8449036299376584,2882.2318487062016
2017-07-30,1.7751,100,3000,56.22218466565264,1628.1200079129267,1.8426160144335273,2890.0758260462358
2017-07-31,1.7013,100,3100,58.6610239228825,1686.7810318358092,1.837820049841391,2869.720569462262
2017-08-01,1.778,100,3200,56.130483689538806,1742.911515525348,1.8360082950254974,3098.8966746040687
2017-08-02,1.7388,100,3300,57.39590522199218,1800.3074207473403,1.833020273076534,3130.3745431954753
2017-08-03,1.7799,100,3400,56.07056576212147,1856.3779865094618,1.8315235500034144,3304.167178188191
2017-08-04,1.7622,100,3500,56.63375326296675,1913.0117397724287,1.8295758082573812,3371.1092878269737
2017-08-05,1.853,100,3600,53.85860766324878,1966.8703474356773,1.8303189148657044,3644.6107537983103
2017-08-06,1.7538,100,3700,56.90500627209488,2023.7753537077722,1.8282661626554575,3549.297215332691
2017-08-07,1.7843,100,3800,55.932298380317214,2079.7076520880896,1.8271798904931107,3710.822363620778
2017-08-08,1.8722,100,3900,53.306270697575044,2133.013922785665,1.8283987546160476,3993.428666239322
2017-08-09,1.8124,100,4000,55.06510704038843,2188.079029826053,1.828087534990905,3965.6744336567385
2017-08-10,1.8362,100,4100,54.351377845550594,2242.430407671604,1.8283733515089002,4117.550714566599
2017-08-11,1.757,100,4200,56.80136596471258,2299.2317736363166,1.8266970942896945,4039.750226279008
2017-08-12,1.6454,100,4300,60.65394432964629,2359.885717965963,1.8221221338236089,3882.9559603411954
2017-08-13,1.5967,100,4400,62.50391432329179,2422.3896322892547,1.816388223162029,3867.829525876253
2017-08-14,1.6,100,4500,62.375,2484.7646322892547,1.8110367241721708,3975.6234116628075
2017-08-15,1.6183,100,4600,61.66965333992461,2546.434285629179,1.8064475592243374,4120.894604433701
2017-08-16,1.6019,100,4700,62.30101754166927,2608.7353031708485,1.801639282562426,4178.933082149382
2017-08-17,1.5059,100,4800,66.27266086725547,2675.007964038104,1.7943871810961183,4028.294493044981
2017-08-18,1.3979,100,4900,71.39280349095073,2746.400767529055,1.7841533027273893,3839.1936329288656
2017-08-19,1.39,100,5000,71.79856115107914,2818.199328680134,1.774182524676735,3917.297066865386
2017-08-20,1.3593,100,5100,73.42014272051792,2891.619471400652,1.7637175466693222,3930.578347474906
2017-08-21,1.329,100,5200,75.09405568096312,2966.713527081615,1.752781302451973,3942.7622774914666
2017-08-22,1.27,100,5300,78.58267716535433,3045.2962042469694,1.740388994873018,3867.526179393651
2017-08-23,1.416,100,5400,70.48022598870057,3115.77643023567,1.733115363348312,4411.939425213708
2017-08-24,1.371,100,5500,72.79358132749817,3188.570011563168,1.7249111608196033,4371.529485853103
2017-08-25,1.3676,100,5600,72.97455396314713,3261.544565526315,1.716977918741493,4460.488347813788
2017-08-26,1.365,100,5700,73.11355311355311,3334.6581186398685,1.7093206551335767,4551.808331943421
2017-08-27,1.3435,100,5800,74.28358764421289,3408.941706284081,1.7014077974135537,4579.913182392663
2017-08-28,1.3241,100,5900,75.37195075900611,3484.3136570430875,1.693303353466447,4613.579713290752
2017-08-29,1.31,100,6000,76.18320610687022,3560.496863149958,1.6851580637798464,4664.250890726445
2017-08-30,1.251,100,6100,79.7761790567546,3640.2730422067125,1.6756984790081062,4553.981575800597
2017-08-31,1.3441,100,6200,74.25042779555092,3714.5234700022634,1.669123926681293,4992.690996030043
2017-09-01,1.3203,100,6300,75.58888131485269,3790.112351317116,1.662219854197901,5004.0853374439885
2017-09-02,1.235,100,6400,80.80971659919028,3870.9220679163063,1.6533528414445917,4780.588753876638
2017-09-03,1.3006,100,6500,76.73381516223282,3947.6558830785393,1.6465467590176683,5134.3212415319485
2017-09-04,0.91,100,6600,109.67032967032966,4057.326212748869,1.6266870480518871,3692.166853601471
2017-09-05,0.923,100,6700,108.12567713976165,4165.451889888631,1.6084689433729442,3844.7120943672066
2017-09-06,0.915,100,6800,109.07103825136612,4274.522928139997,1.5908208037052058,3911.1884792480973
2017-09-07,0.98516,100,6900,101.30334158918349,4375.82626972918,1.5768450515808619,4310.8890078864
2017-09-08,0.841,100,7000,118.66825208085612,4494.4945218100365,1.55746101503333,3779.8698928422405
2017-09-09,0.81,100,7100,123.20987654320987,4617.704398353247,1.5375605252107483,3740.34056266613
2017-09-10,0.7367,100,7200,135.4689833039229,4753.17338165717,1.514777480616488,3501.662830266837
2017-09-11,0.7324,100,7300,136.2643364281813,4889.437718085351,1.4930142116338478,3581.024184725711
2017-09-12,0.8599,100,7400,116.06000697755553,5005.497725062906,1.4783744607349714,4304.227493781593
2017-09-13,0.725,100,7500,137.6551724137931,5143.1528974767,1.4582494725520607,3728.785850670607
2017-09-14,0.575,100,7600,173.56521739130434,5316.718114868004,1.4294532521381722,3057.112916049102
2017-09-15,0.6505,100,7700,153.42044581091469,5470.138560678918,1.4076425879501535,3558.325133721636
2017-09-16,0.61912,100,7800,161.19653702028685,5631.335097699205,1.3851067046581629,3486.4721856875317
