candle_begin_time,open,high,low,close,volume
2021-01-08 00:00:00,169.35,170.8,169.35,170.58,8495.59514
2021-01-08 00:05:00,170.53,171.59,170.01,171.26,7363.10042
2021-01-08 00:10:00,171.22,171.9,171.06,171.39,4425.70251
2021-01-08 00:15:00,171.39,171.73,170.39,170.42,4363.78096
2021-01-08 00:20:00,170.39,170.92,169.28,169.31,6169.73755
2021-01-08 00:25:00,169.32,169.86,168.72,169.4,5277.44595
2021-01-08 00:30:00,169.35,169.39,168.0,168.88,5648.9737
2021-01-08 00:35:00,168.87,169.3,168.02,168.06,5155.95105
2021-01-08 00:40:00,168.04,168.42,167.1,167.2,6584.97882
2021-01-08 00:45:00,167.19,167.86,167.03,167.54,5711.09794
2021-01-08 00:50:00,167.53,167.97,166.84,166.95,6418.4841
2021-01-08 00:55:00,166.93,167.13,165.0,165.37,11370.01943
2021-01-08 01:00:00,165.38,166.82,165.27,166.47,10721.84421
2021-01-08 01:05:00,166.46,166.55,164.8,165.67,10999.43911
2021-01-08 01:10:00,165.66,165.7,164.01,165.43,7111.4583
2021-01-08 01:15:00,165.4,166.36,165.0,166.1,5594.99514
2021-01-08 01:20:00,166.1,166.57,165.73,165.81,4163.62483
2021-01-08 01:25:00,165.82,166.1,164.24,164.39,8309.08785
2021-01-08 01:30:00,164.39,165.13,163.03,163.03,9797.68446
2021-01-08 01:35:00,163.03,163.78,162.0,163.65,18199.71596
2021-01-08 01:40:00,163.63,164.29,163.53,163.76,6644.89763
2021-01-08 01:45:00,163.73,164.95,162.86,164.84,9849.07151
2021-01-08 01:50:00,164.85,165.02,164.3,164.53,5756.96043
2021-01-08 01:55:00,164.57,165.76,164.47,165.54,8485.28697
2021-01-08 02:00:00,165.52,166.3,165.03,165.14,3889.99838
2021-01-08 02:05:00,165.15,165.35,163.46,163.46,7931.27771
2021-01-08 02:10:00,163.45,164.33,163.26,163.53,6154.73458
2021-01-08 02:15:00,163.53,163.84,160.31,160.34,18603.41745
