candle_begin_time,open,high,low,close,volume
2021-01-19 00:00:00,2.8155,2.8215,2.8129,2.8172,158148.6
2021-01-19 00:05:00,2.8168,2.8169,2.8018,2.8035,119196.06
2021-01-19 00:10:00,2.804,2.8081,2.792,2.8061,94928.12
2021-01-19 00:15:00,2.8052,2.8113,2.7975,2.7989,72175.39
2021-01-19 00:20:00,2.799,2.8036,2.7964,2.7987,52023.55
2021-01-19 00:25:00,2.7989,2.8061,2.7978,2.8005,64195.83
2021-01-19 00:30:00,2.8001,2.8037,2.7972,2.7986,97824.45
2021-01-19 00:35:00,2.7986,2.801,2.7941,2.7949,61001.12
2021-01-19 00:40:00,2.7957,2.8,2.795,2.7969,50121.11
2021-01-19 00:45:00,2.797,2.7991,2.7921,2.7927,41623.03
2021-01-19 00:50:00,2.7931,2.7952,2.7902,2.7952,24926.8
2021-01-19 00:55:00,2.7953,2.8015,2.7937,2.8004,24597.83
2021-01-19 01:00:00,2.8009,2.8067,2.8,2.8053,33151.19
2021-01-19 01:05:00,2.8046,2.8099,2.8045,2.8095,32506.59
2021-01-19 01:10:00,2.81,2.8213,2.81,2.8147,164766.72
2021-01-19 01:15:00,2.8143,2.8194,2.8141,2.8166,87618.22
2021-01-19 01:20:00,2.8165,2.8212,2.8127,2.8131,106650.3
2021-01-19 01:25:00,2.8133,2.8189,2.8091,2.8145,94220.01
2021-01-19 01:30:00,2.8146,2.829,2.8146,2.827,161145.63
2021-01-19 01:35:00,2.8271,2.8389,2.8261,2.8381,277266.88
2021-01-19 01:40:00,2.8381,2.8424,2.8317,2.8368,163016.72
2021-01-19 01:45:00,2.8379,2.8485,2.8371,2.8422,176425.44
2021-01-19 01:50:00,2.842,2.8466,2.8236,2.825,150425.18
2021-01-19 01:55:00,2.8236,2.8287,2.813,2.8287,143151.62
2021-01-19 02:00:00,2.8286,2.8338,2.8203,2.8265,121027.79
2021-01-19 02:05:00,2.8259,2.83,2.8232,2.8258,67298.74
2021-01-19 02:10:00,2.8255,2.832,2.8213,2.8265,89977.7
2021-01-19 02:15:00,2.8264,2.8329,2.8217,2.8238,92026.51
2021-01-19 02:20:00,2.8239,2.8275,2.8146,2.8155,137601.98
2021-01-19 02:25:00,2.8156,2.8172,2.807,2.8141,363030.3
2021-01-19 02:30:00,2.8139,2.8219,2.8098,2.8158,105133.9
2021-01-19 02:35:00,2.8158,2.8275,2.8158,2.8225,138835.32
2021-01-19 02:40:00,2.8232,2.8323,2.8214,2.8228,104693.97
2021-01-19 02:45:00,2.8222,2.8279,2.8185,2.8249,77001.86
2021-01-19 02:50:00,2.8256,2.8314,2.8241,2.827,91265.22
2021-01-19 02:55:00,2.8262,2.8298,2.8208,2.8283,80536.82
2021-01-19 03:00:00,2.828,2.8311,2.8193,2.8199,78212.14
2021-01-19 03:05:00,2.8205,2.8273,2.8185,2.8241,73762.95
2021-01-19 03:10:00,2.824,2.8294,2.8234,2.8278,80789.79
2021-01-19 03:15:00,2.8279,2.8291,2.8223,2.823,94798.49
2021-01-19 03:20:00,2.823,2.8281,2.8208,2.8241,189932.32
2021-01-19 03:25:00,2.8242,2.831,2.8236,2.8309,107899.26
2021-01-19 03:30:00,2.8309,2.8317,2.8201,2.8229,115498.49
2021-01-19 03:35:00,2.8228,2.8294,2.8213,2.8284,77853.4
2021-01-19 03:40:00,2.8285,2.8332,2.8258,2.8318,105346.91
